ᐊᑉᕆᖄ	África
ᓃᑉᐊᓐ	Japón
ᐊᒥᐊᓕᑲ ᓂᒋᖅ	América del Sur
ᓄᕐᒋ/nurgi	Noruega
ᓯᐸᐃᓐ	España
ᐊᒥᐊᓕᑲ	Estados Unidos
ᓄᓇ	Tierra
ᐄᒃ	Homo sapiens
ᔫᕐᒋ ᕚᓯᖕᑐᓐ	George Washington
ᔅᕗᕆᑭ	Suecia
ᐳᓚᓐᑦ	Polonia
ᓕᐋᑐᕙ	Lituania
Italy	Italia
ᐃᐆᕌᑉ	Europa
ᐊᓰᐊ	Asia
ᐊᒥᐊᕆᑲ ᑐᓄᕕᐊᖅ	América del Norte
ᐅᐃᑭᐱᑎᐊ	Wikipedia
ᐅᓱᒃ	Pene
ᐱᕐᓖᓐ	Berlín
ᖃᕋᓴᐅᔭᖅ	Computadora
ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Internet
ᐸᕌᒃ ᐅᐹᒪ	Barack Obama
ᑭᒻᒥᓇᐅᔭᖅ	Manzana
ᒎᒐᓪ	Google
ᒦᒃᓰᖂ	México
ᑳᓖᐴᕐᓃᐊ	California
ᒧᓇᑖᒃ	Lunes
ᔭᓐᓄᐊᓕ	Enero
ᕕᐳᐊᕆ	Febrero
ᓇᑦᓯᐊᓕᐅᑦ	Marzo
ᐊᐃᐳᕆᓪ	Abril
ᒪᐃ	Mayo
ᔪᓂ	Junio
ᔪᓚᐃ	Julio
ᐊᐅᒍᔅ	Agosto
ᓯᑎᒻᐳᕆ	Septiembre
ᐅᒃᑐᐳᕆ	Octubre
ᓄᕕᒻᐳᕆ	Noviembre
ᑎᓯᒻᐳᕆ	Diciembre
ᐃᓯᐱᕋᓐᑐ	Esperanto
ᕿᖕᒥᖅ	Canis lupus familiaris
China	República Popular China
ᐅᐃᒍᐃᕐᒥᐅᖅ	Idioma francés
ᐃᖃᓗᒃ	Pisces
ᐊᖓᔮᕐᓇᖅᑐᖅ	Bebida alcohólica
ᐅᓛᓴ	Rusia
ᐊᕐᕕᒃ	Cetacea
ᐅᐃᑭ	Wiki
ᐋᓛᐹᒫ	Alabama
ᑯᐸᐃᒃ	Quebec
ᔨᒥ ᐆᐃᓪᔅ	Jimmy Wales
ᔮᒪᓂ	Alemania
ᑎᖕᒥᓲᖅ	Avión
ᐊᑭᕋᖅᑑᑎᔪᑦ	Guerra
ᔅᑏᕕᓐ ᐦᐊᕐᐱᕐ	Stephen Harper
ᕕᓪᓂᐅᔅ/vilnius	Vilna
ᐊᑯᑭᑦᑐᑦ	Groenlandia
ᖂᐹ/quupaa	Cuba
ᐄᓅᓯᐊ	Indonesia
ᓯᓕ	Chile
ᐱᐅᓕᑦᓯᔨ	Jesús de Nazaret
ᒥᕐᑰᕆ	Mercurio (planeta)
ᖃᐅᔨᓴᕐᓂᖅ ᑎᑎᖅᑲᑎᒍᑦ ᖃᓄᐃᓕᐅᖅᑕᐅᖃᑦᑕᕐᓂᑯᓂᒃ	Historia
ᕖᓄᔅ	Venus (planeta)
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ	Amor
ᐅᕌᓄᔅ	Urano (planeta)
ᓂᑉᑑᓐ	Neptuno (planeta)
ᓯᓚᓯᐅᕐᓂᖅ	Astronomía
ᑉᓘᑐ	Plutón (planeta enano)
ᒧᕆᐊᓪ	Montreal
ᑕᖅᑭᖅ	Luna
ᐊᔅᑦᕌᓕᐊ	Australia
ᐆᒫᑦᓱᓕᕆᓂᖅ/umatsuliriniq	Física
ᐱᕉ	Perú
ᐆᒪᔅᓱᓯᖃᕐᑐᓕᕆᓂᖅ	Biología
ᐊᖏᐋᕐᓂᖅ	Excremento
ᐃᑎᖅ	Ano
ᐱᕈᖅᑐᓴᔭᖅ/piruqtusajaq	Flor
ᓄᓇᓖᑦ	Ciudad
ᐅᓪᓗᕆᐊᖅ	Estrella
