ܐܦܪܝܩܐ	África
ܝܦܢ	Japón
ܐܡܪܝܩܐ ܬܝܡܢܝܬܐ	América del Sur
ܢܘܪܒܝܓ	Noruega
ܩܘܛܢܝܘܬܐ ܕܐܝܪܠܢܕ	Irlanda
ܡܓܪ	Hungría
ܐܣܦܢܝܐ	España
ܐܘܚܕܢܐ ܡܚܝܕܐ	Estados Unidos
ܒܠܓܝܩܐ	Bélgica
ܠܘܟܣܡܒܘܪܓ	Luxemburgo
ܬܒܝܠ	Universo
ܐܪܥܐ	Tierra
ܡܘܬܐ	Muerte
ܒܪ ܐܢܫܐ	Homo sapiens
ܓܘܪܓ ܘܐܫܝܢܓܛܘܢ	George Washington
ܦܝܢܠܢܕ	Finlandia
ܣܘܝܕ	Suecia
ܕܐܢܡܐܪܩ	Dinamarca
ܦܘܠܢܕ	Polonia
ܠܬܘܢܝܐ	Lituania
ܐܝܛܠܝܐ	Italia
ܣܘܝܣܪܐ	Suiza
ܢܡܣܐ	Austria
ܝܘܢ	Grecia
ܛܘܪܩܝܐ	Turquía
ܦܘܪܛܘܓܠ	Portugal
ܐܘܪܘܦܐ (ܝܒܫܬܐ)	Europa
ܐܣܝܐ (ܝܒܫܬܐ)	Asia
ܐܡܪܝܩܐ ܓܪܒܝܝܬܐ	América del Norte
ܐܢܛܐܪܩܛܝܩܐ	Antártida
ܘܝܩܝܦܕܝܐ	Wikipedia
ܗܘܠܢܕܐ	Países Bajos
ܢܝܘ ܝܘܪܩ (ܡܕܝܢܬܐ)	Nueva York
ܘܐܫܢܓܛܘܢ (ܐܪܫܟܝܬܐ)	Washington D. C.
ܒܪܠܝܢ	Berlín
ܚܫܘܒܐ (ܡܐܟܢܐ)	Computadora
ܒܪܢ	Berna
ܬܣܝܪܝܟ	Zúrich
ܐܢܛܪܢܛ	Internet
ܒܪܐܩ ܐܘܒܐܡܐ	Barack Obama
ܠܘܢܕܘܢ	Londres
ܐܠܟܣܢܕܪܝܐ	Alejandría
ܚܙܘܪܐ	Manzana
ܦܐܪܝܣ	París
ܡܟܣܝܩܘ	México
ܐܘܩܝܢܘܣ ܐܛܠܢܛܝܐ	Océano Atlántico
ܐܘܩܝܢܘܣ ܫܝܢܝܐ	Océano Pacífico
ܒܘܣܛܘܢ	Boston
ܬܪܝܢܒܫܒܐ	Lunes
ܟܢܘܢ ܒ	Enero
ܫܒܛ	Febrero
ܐܕܪ	Marzo
ܟܘܫ	Etiopía
ܢܝܣܢ	Abril
ܐܝܪ	Mayo
ܚܙܝܪܢ	Junio
ܬܡܘܙ	Julio
ܐܒ	Agosto
ܐܝܠܘܠ	Septiembre
ܬܫܪܝܢ ܐ	Octubre
