ܐܦܪܝܩܐ	África
ܬܫܪܝܢ ܒ	Noviembre
ܟܢܘܢ ܐ	Diciembre
ܬܠܬܒܫܒܐ	Martes
ܐܪܒܥܒܫܒܐ	Miércoles
ܚܡܫܒܫܒܐ	Jueves
ܥܪܘܒܬܐ	Viernes
ܫܒܬܐ (ܙܒܢܐ)	Sábado
ܚܕܒܫܒܐ	Domingo
ܐܪܝܐ	Panthera leo
ܦܪܢܣܐ	Francia
ܟܠܒܐ	Canis lupus familiaris
ܡܠܟܘܬܐ ܡܚܝܕܬܐ	Reino Unido
ܩܛܐ	Felis silvestris catus
ܩܘܛܢܝܘܬܐ ܥܡܡܝܬܐ ܕܨܝܢ	República Popular China
ܠܫܢܐ ܦܪܢܣܝܐ	Idioma francés
ܒܪܐܙܝܠ	Brasil
ܪܘܣܝܐ	Rusia
ܝܡܐ	Mar
ܝܡܐ ܐܘܟܡܐ	Mar Negro
Π	Π
ܐܠܒܐܡܐ	Alabama
ܣܐܘ ܦܐܘܠܘ	São Paulo
ܩܝܒܩ (ܗܘܦܪܟܝܐ)	Quebec
ܓܪܡܢ	Alemania
ܒܠܐܪܘܣ	Bielorrusia
ܠܫܢܐ ܓܪܡܢܝܐ	Idioma alemán
ܐܠܗܐ	Dios
ܐܣܛܘܢܝܐ	Estonia
ܛܝܣܬܐ	Avión
ܩܪܒܐ	Guerra
1 (ܡܢܝܢܐ)	Uno
2 (ܡܢܝܢܐ)	Dos
3 (ܡܢܝܢܐ)	Tres
4 (ܡܢܝܢܐ)	Cuatro
5 (ܡܢܝܢܐ)	Cinco
ܠܐܛܒܝܐ	Letonia
ܐܘܩܪܐܝܢܐ	Ucrania
ܬܫܝܟ	República Checa
ܣܠܘܒܩܝܐ	Eslovaquia
ܣܠܘܒܢܝܐ	Eslovenia
ܡܘܠܕܘܒܐ	Moldavia
ܪܘܡܢܝܐ	Rumania
ܒܘܠܓܐܪܝܐ	Bulgaria
ܪܗܘܡܐ (ܡܕܝܢܬܐ)	Roma
ܩܘܛܢܝܘܬܐ ܕܡܩܕܘܢܝܐ	República de Macedonia
ܐܠܒܢܝܐ	Albania
ܩܪܘܐܛܝܐ	Croacia
ܒܘܣܢܐ ܘܗܪܬܣܓܘܒܝܢܐ	Bosnia y Herzegovina
ܐܙܪܒܝܓܐܢ	Azerbaiyán
ܐܢܕܘܪܐ	Andorra
ܩܘܦܪܘܣ	Chipre
ܓܘܪܓܝܐ (ܐܬܪܐ)	Georgia
ܩܙܩܣܛܐܢ	Kazajistán
ܡܝܠܛܐ	Malta
ܡܘܢܐܩܘ	Mónaco
ܛܘܪܐ ܐܘܟܡܐ	Montenegro
ܡܕܝܢܬܐ ܕܘܛܝܩܢ	Ciudad del Vaticano
ܣܢ ܡܪܝܢܘ	San Marino
ܒܪܘܟܣܠ	Región de Bruselas-Capital
ܠܘܕܒܝܓ ܒܐܢ ܒܝܛܗܘܒܢ	Ludwig van Beethoven
ܠܫܢܐ ܛܘܪܩܝܐ	Idioma turco
ܓܙܐܐܪ	Argelia
ܐܘܙܒܩܣܛܐܢ	Uzbekistán
ܘܐܪܣܘ	Varsovia
ܚܡܪܐ (ܫܬܝܐ)	Vino
ܡܝܐ	Agua
ܦܪܣ ܚܙܘܐ	Televisión
ܬܫܝܠܝ	Chile
ܐܠ ܓܪܝܩܘ	El Greco
ܝܫܘܥ	Jesús de Nazaret
ܠܫܢܐ (ܡܡܠܠܐ)	Lenguaje
ܫܘܠܛܢ ܛܪܘܢܘܬܐ	Dictadura
ܡܡܠܠܘܬ ܟܘܟܒܐ	Astronomía
ܡܪܝܡ (ܐܡܗ ܕܝܫܘܥ)	María (madre de Jesús)
ܠܝܟܛܢܫܛܝܢ	Liechtenstein
ܐܕܘܠܦ ܗܝܛܠܪ	Adolf Hitler
ܠܫܢܐ ܠܐܛܝܢܝܐ	Latín
ܒܚܪܝܢ	Baréin
ܐܪܡܢܝܐ	Armenia
ܣܪܒܝܐ	Serbia
ܣܗܪܐ	Luna
ܐܝܣܛܢܒܘܠ (ܡܕܝܢܬܐ)	Estambul
ܐܘܣܛܪܠܝܐ (ܐܬܪܐ)	Australia
ܦܝܣܝܟ	Física
ܩܘܪܐܢ	Corán
ܐܣܠܐܡ	Islam
ܟܡܬܪܐ	Pyrus
ܠܟ ܒܐܘܢܣܐ	Lech Wałęsa
ܫܠܡܐ (ܫܝܢܐ)	Paz
ܚܘܝܕܐ ܐܘܪܘܦܝܐ	Unión Europea
ܐܢܬܬܐ	Mujer
ܛܝܙܐ	Ano
ܫܚܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Axila
ܗܒܒܐ	Flor
ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Anatomía
ܡܕܝܢܬܐ	Ciudad
ܢܐܦܠܝܘܢ ܒܘܢܐܦܪܛ	Napoleón Bonaparte
ܟܘܟܒܐ	Estrella
ܫܡܫܐ	Sol
ܩܪܝܬܐ	Pueblo (población rural)
ܝܡܐ ܕܡܕܢܚܐ	Mar Báltico
ܘܝܩܝܡܝܕܝܐ ܩܘܡܡܘܢܣ	Wikimedia Commons
ܟܬܒܐ (ܣܦܪܐ)	Libro
ܝܘܡܐ	Día
ܠܠܝܐ	Noche
ܫܢܬܐ (ܙܒܢܐ)	Año
ܕܪܐ	Siglo
ܐܘܣܠܘ	Oslo
ܠܫܒܘܢܐ	Lisboa
ܦܠܝܛܐ	Planeta
ܙܡܪܘܬܐ	Música
ܡܘܣܩܒܐ	Moscú
ܠܫܢܐ ܐܝܛܠܝܐ	Idioma italiano
ܬܫܐܕ	Chad
ܬܝܡܢܐ	Norte
ܢܝܘ ܙܝܠܢܕ	Nueva Zelanda
ܓܪܒܝܐ	Sur
ܗܢܕܘ	India
ܦܪܙܠܐ	Hierro
ܡܥܪܒܐ	Oeste
ܡܕܢܚܐ	Este
ܒܢܙܘܝܠܐ	Venezuela
ܛܠܦܣܢܐ	Ajedrez
ܡܝܢ	Maine
ܣܘܣܝܐ	Equus ferus caballus
ܐܡܣܛܪܕܐܡ	Ámsterdam
ܙܝܢܐ	Arma
ܚܝܘܬܐ	Animalia
ܩܘܠܘܡܒܝܐ	Colombia
ܢܝܘ ܗܐܡܦܫܪ	Nuevo Hampshire
ܠܝܘܢܪܕܘ ܕܗ ܒܢܬܫܝ	Leonardo da Vinci
ܡܐܣܐܬܫܘܣܬܣ	Massachusetts
ܐܘܛܪܝܟܛ (ܗܘܦܪܟܝܐ)	Provincia de Utrecht
ܟܘܢܝܬܝܟܬ	Connecticut
ܐܝܪܐܢ	Irán
ܥܝܪܐܩ	Irak
ܐܠܐܣܟܐ	Alaska
ܐܝܣܪܐܝܠ	Israel
ܐܘܛܪܝܟܛ (ܡܕܝܢܬܐ)	Utrecht
ܝܡܢ	Yemen
ܠܫܢܐ ܦܘܠܢܕܝܐ	Idioma polaco
ܝܘܪܕܢܢ	Jordania
ܩܝܪܓܝܙܣܛܐܢ	Kirguistán
ܐܪܝܙܘܢܐ	Arizona
ܟܘܘܝܬ (ܐܬܪܐ)	Kuwait
ܠܒܢܢ	Líbano
ܐܘܪܝܓܘܢ	Oregón
ܐܡܪܝܩܐ	América
ܝܘܬܐ	Utah
ܥܘܡܐܢ	Omán
ܦܐܩܣܛܐܢ	Pakistán
ܩܛܪ	Catar
ܣܥܘܕܝܐ	Arabia Saudita
ܝܘܣܦ ܣܛܐܠܝܢ	Iósif Stalin
ܣܘܪܝܐ	Siria
ܛܐܓܝܩܣܛܐܢ	Tayikistán
ܦܪܣ ܩܠܐ	Radiocomunicación
ܛܘܪܩܡܢܣܛܐܢ	Turkmenistán
ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ	Emiratos Árabes Unidos
ܐܦܓܐܢܣܛܐܢ	Afganistán
ܕܗܒܐ	Oro
ܡܠܝ	Malí
ܦܝܠܝܦܝܢܝܐ	Filipinas
ܩܘܛܢܝܘܬܐ ܕܐܦܪܝܩܐ ܡܨܥܝܬܐ	República Centroafricana
ܐܝܣܚܩ ܢܝܘܛܢ	Isaac Newton
ܫܥܘܬܐ (ܓܘܢܐ)	Amarillo
ܬܘܢܣ (ܐܬܪܐ)	Túnez
ܬܝܡܢܐ ܕܣܘܕܐܢ	Sudán del Sur
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ	República del Congo
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ ܕܝܡܘܩܪܛܝܬܐ	República Democrática del Congo
ܦܐܦܐ ܝܘܚܢܢ ܦܘܠܘܣ ܬܪܝܢܐ	Juan Pablo II
ܛܒܝܠܝܣܝ	Tiflis
ܩܐܡܪܘܢ	Camerún
ܠܘܒܐ	Libia
ܡܘܪܝܛܢܝܐ	Mauritania
ܡܓܪܒ	Marruecos
ܢܝܓܪ	Níger
ܣܘܕܐܢ	Sudán
ܩܫܬܐ ܕܡܪܢ	Arco iris
ܗܐܡܒܘܪܓ	Hamburgo
ܝܡܬܐ ܕܐܘܢܛܪܝܘ	Lago Ontario
ܝܡܬܐ ܕܣܘܦܝܪܝܘܪ	Lago Superior
ܓܐܘܓܪܦܝܐ	Geografía
ܠܒܐ	Corazón
ܡܘܚܐ	Cerebro
ܓܠܕܐ	Piel
ܓܘܢܐ	Color
ܦܪܐܓ	Praga
ܙܪܩܐ	Azul
ܟܣܦܐ (ܣܐܡܐ)	Plata
ܡܫܝܓܢ	Míchigan
ܝܡܬܐ ܕܡܝܫܝܓܢ	Lago Míchigan
ܐܠܝܢܘܝ	Illinois
ܢܘܪܬ ܕܐܟܘܬܐ	Dakota del Norte
ܣܐܘܬ ܕܐܟܘܬܐ	Dakota del Sur
ܡܘܢܬܐܢܐ	Montana
ܘܐܝܘܡܝܢܓ	Wyoming
ܐܘܪܫܠܡ	Jerusalén
ܐܝܕܐܗܘ	Idaho
ܢܝܒܐܕܐ	Nevada
ܐܘܩܝܢܘܣ ܗܢܕܘܝܐ	Océano Índico
ܟܘܠܘܪܐܕܘ	Colorado
ܫܝܩܓܘ	Chicago
ܣܬܘܐ	Invierno
ܬܕܐܐ	Primavera
ܩܝܛܐ	Verano
ܬܫܪܝܬܐ	Otoño
ܨܕܐܡ ܚܘܣܝܢ	Sadam Husein
ܠܫܢܐ ܐܣܦܢܝܐ	Idioma español
ܓܘܓܝ	Araneae
ܐܒܐ (ܦܐܪܐ)	Fruto
ܩܘܦܐ	Mono
ܒܪܓܝܢܝܐ	Virginia
ܝܡܬܐ ܕܝܘܪܘܢ	Lago Hurón
ܢܝܘ ܝܘܪܩ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Nueva York (estado)
ܪܘܕ ܐܝܠܐܢܕ	Rhode Island
ܪܚܫܐ	Insecta
ܡܐܪܝܠܐܢܕ	Maryland
ܕܝܠܐܘܝܪ	Delaware
ܐܘܗܐܝܘ	Ohio
ܦܢܣܝܠܒܐܢܝܐ	Pensilvania
ܐܝܛܙܢ	Uetersen
ܐܓܘܣܛܘܣ ܩܣܪ	César Augusto
ܢܝܘ ܓܝܪܣܝ	Nueva Jersey
ܐܢܕܝܐܢܐ	Indiana
ܪܕܝܬܐ	Automóvil
ܓܘܪܓܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Georgia (Estados Unidos)
ܣܩܠܝܐ	Sicilia
ܣܢ (ܢܗܪܐ)	Río Sena
ܛܘܩܝܘ	Tokio
ܦܪܕܝܢܢܕ ܡܓܝܠܢ	Fernando de Magallanes
ܢܝܘ ܡܝܟܣܝܟܘ	Nuevo México
ܐܬܢܘܣ	Atenas
ܡܢܝܣܘܬܐ	Minnesota
ܒܓܕܐܕ (ܡܕܝܢܬܐ)	Bagdad
ܘܝܣܟܘܢܣܢ	Wisconsin
ܐܝܐܘܐ	Iowa
ܢܝܒܪܐܣܟܐ	Nebraska
ܟܐܢܣܐܣ	Kansas
ܡܝܙܘܪܝ	Misuri
ܐܪܟܢܣܐܣ	Arkansas
ܠܫܢܐ ܕܐܘܪܕܘ	Urdu
ܐܘܟܠܐܗܘܡܐ	Oklahoma
ܝܡܐ ܕܓܪܒܝܐ	Mar del Norte
ܒܝܝܢܐ	Viena
ܩܘܦܢܗܐܓܢ	Copenhague
ܣܛܘܩܗܘܠܡ	Estocolmo
ܗܠܣܢܩܝ	Helsinki
ܕܒܠܢ	Dublín
ܒܪܛܝܣܠܐܒܐ	Bratislava
ܟܬܒܐ ܩܕܝܫܐ	Biblia
ܥܕܬܐ ܫܪܝܪܬܐ ܕܝܫܘܥ	Verdadera Iglesia de Jesús
ܠܫܢܐ ܐܢܓܠܝܐ	Idioma inglés
ܩܘܢܣܦܣܝܘܢ (ܬܫܝܠܝ)	Concepción (Chile)
ܐܘܢܛܐܪܝܘ	Ontario
ܡܐܢܝܛܘܒܐ	Manitoba
ܐܠܒܪܛܐ	Alberta
ܢܘܒܐ ܣܩܘܛܝܐ	Nueva Escocia
ܩܘܢܣܩܘܒܘܠܐ	Końskowola
ܢܝܘ ܒܪܘܢܙܘܝܩ	Nuevo Brunswick
ܩܘܠܘܡܒܝܐ ܒܪܝܛܝܬܐ	Columbia Británica
ܓܙܪܬܐ ܕܐܡܝܪܐ ܐܕܘܐܪܕ	Isla del Príncipe Eduardo
ܣܐܣܩܐܬܫܘܐܢ	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
ܢܝܘܦܐܘܢܕܠܢܕ ܘܠܐܒܪܐܕܘܪ	Terranova y Labrador
2008	2008
ܐܘܚܕܢܐ ܓܪܒܝܝܐ-ܡܥܪܒܝܐ	Territorios del Noroeste
ܝܘܩܘܢ	Yukón
2005	2005
2006	2006
ܢܘܢܐܒܘܛ	Nunavut
2007	2007
ܡܐܟܘܠܬܐ	Alimento
ܚܘܝܐ	Serpentes
ܩܘܪܘܦ	Kurów
ܟܝܡܝܐ	Química
1968	1968
ܩܛܠܥܡܐ ܝܗܘܕܝܐ	Holocausto
ܡܕܪܝܕ (ܡܕܝܢܬܐ)	Madrid
ܣܢܛܝܐܓܘ ܕܐ ܬܫܝܠܝ	Santiago de Chile
ܚܐܪܘܬܐ	Libertad
ܣܝܕܢܝ	Sídney
ܝܪܘܩܐ	Verde
ܡܠܒܘܪܢ	Melbourne
ܣܘܡܩܐ	Rojo
ܢܘܪܐ (ܕܠܩܐ)	Fuego
ܢܝܠܘܣ	Nilo
ܓܙܐܐܪ (ܡܕܝܢܬܐ)	Argel
ܬܘܢܣ (ܡܕܝܢܬܐ)	Túnez (ciudad)
ܛܗܪܐܢ	Teherán
ܐܢܩܪܐ	Ankara
ܢܝܐܡܝ	Niamey
ܒܡܩܘ	Bamako
ܕܪܡܣܘܩ	Damasco
ܥܡܐܢ	Amán
ܒܝܪܘܬ	Beirut
ܒܝܬ ܨܘܒܐ	Universidad
ܒܝܬܐ (ܒܢܝܢܐ)	Casa
ܢܗܪܐ	Río
ܪܝܫܐ ܕܣܒܪܐ ܛܒܐ	Cabo de Buena Esperanza
ܫܘܚܡܠܐ	Inversión
ܩܘܪܝܛܝܒܐ	Curitiba
ܥܒܐ	Bosque
ܩܘܢܦܘܫܝܘܣ	Confucio
ܩܢܐ	Nido
ܐܘܪܘ	Euro
ܝܡܐ ܚܘܪܐ ܡܨܥܝܐ	Mar Mediterráneo
ܓܘܪܓܝܐ	Georgia (desambiguación)
ܡܫܝܚܝܘܬܐ	Cristianismo
ܩܠܒܐ:ܐܘܝܐ	Plantilla:A favor
ܪܘܙܐ	Arroz
ܝܒܫܬܐ	Continente
ܛܝܪܐ	Aves
ܐܪܫܟܝܬܐ	Capital (política)
ܠܫܢܐ ܦܘܪܛܘܓܠܝܐ	Idioma portugués
ܝܪܚܐ	Mes
ܡܘܨܛܦܐ ܟܡܐܠ ܐܛܐܛܘܪܩ	Mustafa Kemal Atatürk
ܐܠܡܐܙܢ	Almazán
ܠܫܢܐ ܝܦܢܝܐ	Idioma japonés
ܦܐܬܐ ܪܝܫܝܬܐ	Wikipedia:Portada
ܦܪܢܣܝܣܩܘ ܓܘܝܐ	Francisco de Goya
ܝܡܐ ܐܚܪܝܐ	Mar Caspio
ܝܡܬܐ ܕܐܝܪܝ	Lago Erie
ܣܠܒܐܕܘܪ ܕܐܠܝ	Salvador Dalí
ܒܢܣܢܬ ܦܢ ܟܘܟ	Vincent van Gogh
ܦܪܝܕܐ ܩܐܠܘ	Frida Kahlo
ܗܢܪܝ ܡܐܛܝܣ	Henri Matisse
ܡܝܟܠܐܢܓܠܘ	Miguel Ángel
ܦܒܠܘ ܦܝܩܐܣܘ	Pablo Picasso
ܪܡܒܪܢܛ	Rembrandt
ܐܢܕܝ ܘܘܪܗܘܠ	Andy Warhol
ܢܝܢܘܐ (ܡܕܝܢܬܐ)	Nínive
ܒܒܠ	Babilonia (ciudad)
ܐܝܪܝܚܘ	Jericó (Cisjordania)
ܩܛܠܘܢܝܐ	Cataluña
ܡܕܪܝܕ (ܗܘܦܪܟܝܐ)	Comunidad de Madrid
ܒܝܬ ܠܚܡ	Belén
ܣܕܪܐ:Candidates for speedy deletion	Categoría:Wikipedia:Borrar (definitivo)
ܪܫܡܠܘܬܐ	Capitalismo
ܐܘܡܬܐ	Nación
ܩܪܬܐܓܘ	Cartago
ܣܕܪܐ:ܐܣܛܪܘܢܘܡܝܐ	Categoría:Astronomía
ܨܚܪܐܐ	Desierto del Sahara
ܫܐܕܐ	Diablo
ܒܝܬ ܟܬܒܐ	Biblioteca
ܫܘܠܛܢܘܬܐ (ܫܘܬܐܣܐ)	Gobierno
ܬܫܝܢ ܫܝ ܗܘܐܢܓ	Qin Shi Huang
ܡܕܢܚܐ ܡܨܥܝܬܐ	Oriente Medio
ܡܠܟܘܬܐ	Monarquía
ܩܘܛܢܝܘܬܐ	República
ܐܬܪܐ	Estado
ܓܒܐ	Partido político
ܝܗܘܕܝܐ	Pueblo judío
ܝܡܡܬܐ ܪܘܪܒܬܐ	Grandes Lagos (América del Norte)
ܐܘܩܝܢܘܣ ܬܝܡܢܝܐ	Océano Antártico
ܐܕܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Oído
ܢܚܝܪܐ	Nariz
ܥܝܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Ojo
ܥܘܩܒܪܬܐ	Músculo
ܙܡܝܪܬܐ	Canción
ܓܡܠܐ	Camelus
ܫܘܫܡܢܐ	Formicidae
ܕܒܫܬܐ	Anthophila
ܠܫܢܐ ܗܘܠܢܕܝܐ	Idioma neerlandés
ܐܡܐ (ܒܝܬܝܘܬܐ)	Madre
ܐܒܐ (ܒܝܬܝܘܬܐ)	Padre
1847	1847
ܨܦܪܐ (ܙܒܢܐ)	Mañana
ܩܛܝܢܬܐ	Minuto
ܠܫܢܐ ܪܘܣܝܐ	Idioma ruso
ܩܢܘܢܐ	Derecho
ܠܫܢܐ ܨܝܢܝܐ	Idioma chino
ܕܡܐ	Sangre
ܬܓܪܘܡܬܐ	Esqueleto
ܪܐܬܐ	Pulmones
ܠܫܢܐ ܪܘܡܢܝܐ	Idioma rumano
ܡܛܪܐ	Lluvia
ܢܠܣܘܢ ܡܐܢܕܝܠܐ	Nelson Mandela
ܐܒܢܐ	Roca
ܥܢܢܐ	Nube
ܩܢܘܢܐ ܕܠܥܙܐ	Gramática
ܠܫܢܐ ܓܘܪܓܝܐ	Idioma georgiano
ܝܘܠܦܢ ܡܡܫܚܘܬܐ	Economía
ܙܘܙܐ	Divisa
ܡܕܐܬܐ	Impuesto
ܐܠܦܒܝܬ ܥܪܒܝܐ	Alfabeto árabe
ܐܠܦܒܝܬ ܝܘܢܝܐ	Alfabeto griego
ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Alfabeto latino
ܣܕܪܐ:ܦܪܢܣܐ	Categoría:Francia
ܟܢܫܐ	Sociedad
ܓܒܪܐ	Varón
ܙܘܘܓܐ	Matrimonio
ܙܕܩܐ ܕܒܪܢܫܐ	Derechos humanos
ܩܪܒܐ ܓܘܝܐ	Guerra civil
ܓܪܡܐ ܕܣܢܘܢܝܬܐ	Esternón
ܬܪܝܢܐ	Zumo
ܚܠܒܐ (ܕܝܘܒܐ)	Leche
ܛܘܪܐ	Montaña
ܡܕܒܪܐ	Desierto
ܠܫܢܐ ܐܠܒܢܝܐ	Idioma albanés
ܠܫܢܐ ܐܪܡܢܝܐ	Idioma armenio
ܝܘܗܐܢ ܓܘܛܢܒܪܓ	Johannes Gutenberg
ܠܫܢܐ ܣܘܝܕܝܐ	Idioma sueco
ܢܝܩܘܠܐ ܛܣܠܐ	Nikola Tesla
ܡܘܫܐ	Moisés
ܬܕܐ	Mama
ܢܘܗܪܐ (ܚܙܝܬܐ)	Luz
ܠܫܢܐ ܝܘܢܝܐ	Idioma griego
ܠܫܢܐ ܦܪܣܝܐ	Idioma persa
ܬܘܕܝܬܐ	Religión
ܐܒܪܗܡ	Abraham
ܣܦܪܐ ܕܒܪܝܬܐ	Génesis
ܠܫܢܐ ܩܢܛܘܢܝܐ	Cantonés estándar
ܠܫܢܐ ܡܢܕܪܝܢܝܐ	Chino mandarín
ܦܘܠܘܣ ܫܠܝܚܐ	Pablo de Tarso
ܙܝܓܡܘܢܕ ܦܪܘܝܕ	Sigmund Freud
ܙܠܛܐ	Ensalada
ܝܗܘܕܝܘܬܐ	Judaísmo
ܠܫܢܐ ܥܒܪܝܐ	Idioma hebreo
ܟܒܕܐ	Hígado
ܛܚܠܐ	Bazo
ܟܘܠܝܬܐ	Riñón
ܫܠܦܘܚܬܐ	Vejiga urinaria
ܐܫܟܐ	Testículo
ܐܘܩܝܢܘܣ	Océano
ܒܘܕܗܐ	Buda Gautama
ܡܘܚܡܕ	Mahoma
ܟܪܣܐ	Abdomen
ܚܒܠܐ ܟܘܒܝܐ	Médula espinal
ܘܪܝܕܐ	Vena
ܡܪܒܥܐ	Útero
ܠܫܢܐ (ܗܕܡܐ)	Lengua (anatomía)
ܓܝܕܐ	Nervio
ܨܘܪܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Cuello
ܦܘܡܐ	Boca
ܓܓܪܬܐ	Laringe
ܡܥܝܐ	Intestino
ܫܪܝܬܐ	Articulación (anatomía)
ܚܕܝܐ	Tórax
ܬܝܪܬܐ	Glándula
ܚܠܒܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Diafragma (anatomía)
ܫܪܝܢܐ	Arteria
A	A
B	B
ܢܘܛܦܬܐ	Semen
G	G
U	U
Z	Z
F	F
J	J
ܐܠܦܒܝܬ	Alfabeto
T	T
C	C
R	R
D	D
Α	Α
Ω	Ω
I	I
Μ	Μ
E	E
H	H
ܗܐܪܠܡ (ܗܘܠܢܕܐ)	Haarlem
K	K
L	L
M	M
N	N
O	O
Q	Q
S	S
V	V
W	W
X	X
Y	Y
ܐܢܫܟܕܐ	Enschede
ܗܢܓܠܘ	Hengelo
Φ	Φ
ܝܘܢܐ	Columbidae
ܐܝܠܢܐ	Árbol
Λ	Λ
ܓܒܬܐ	Queso
ܥܢܒܬܐ	Uva
ܕܒܫܐ	Miel
ܒܣܪܐ	Carne
ܫܟܪ	Azúcar
ܣܦܪܙܒܢܐ	Prensa escrita
ܙܥܘܩܐ	Teléfono
ܡܪܕܘܬܐ	Cultura
ܡܥܝܐ ܥܒܝܐ	Intestino grueso
ܡܥܝܐ ܩܛܝܢܐ	Intestino delgado
ܣܘܪܓܕܐ ܝܘܠܝܝܐ	Calendario juliano
ܐܣܝܘܬܐ	Medicina
ܡܠܚܐ (ܐܨܪܐ)	Sal
ܣܕܪܐ:ܒܪܐܙܝܠ	Categoría:Brasil
ܙܘܝܬܐ (ܡܚܪܘܬܐ)	Ángulo
ܬܘܩܦܐ	Energía
ܣܦܝܢܬܐ	Buque
ܩܠܐ (ܨܘܬܐ)	Sonido
ܙܓܘܓܝܬܐ	Vidrio
ܫܛܝܚܘܬܐ	Área
ܡܢܝܢܐ	Número
ܪܦܦܐ	Segundo
ܣܥܪܬܐ	Hordeum vulgare
ܘܘܗܐܢ	Wuhan
ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	Anexo:Países
ܒܝܬ ܢܗܪܝܢ	Mesopotamia
ܕܒܐ	Ursidae
ܬܠܗܝܐ	Cáncer
ܚܛܬܐ	Triticum
ܣܘܪܓܕܐ	Calendario
ܟܘܪܗܢܐ	Enfermedad
ܣܘܪܓܕܐ ܓܪܝܓܘܪܝܐ	Calendario gregoriano
ܟܦܣܐ	Menstruación
ܥܡܐ ܩܪܕܘܝܐ	Pueblo kurdo
ܓܫܪܐ	Puente
ܡܓܕܠܐ (ܒܢܝܢܐ)	Torre
ܐܡܪܝܩܐ ܠܐܛܝܢܝܬܐ	América Latina
ܟܗܪܒܐ	Electricidad
ܡܙܝܥܢܐ ܕܩܝܕܐ ܓܘܝܐ	Motor de combustión interna
ܣܝܦܐ (ܙܝܢܐ)	Espada
ܫܡܥܘܢ ܩܢܢܝܐ	Simón el Zelote
ܩܪܩܦܬܐ	Cráneo
ܓܘܡܠܐ!	Joomla
